siren,date_cloture_exercice,default_event,DV,GW,CJ,CK,CO,EE,GF,CG,DL,GP,GU,DX,GG,1A,CF,HN,FW,BM,DY,FS,BY,GA,EA,FV,FZ,HE,DU,BL,FP,FY,FU,FT,FX,FJ,FL,BU,BX,BJ,BK,BT,FC,CHIFFRE_AFFAIRE,RESULTAT_FINANCIER,TOTAL_ACTIF,EXPORT,ACTIF_IMMO,CP,ratio_marge_commerciale,ratio_marge_exploitation,ratio_marge_nette,ratio_duree_credit_client_jours,ratio_duree_credit_fournisseur_jours,ratio_taux_exportation,ratio_actif_immo_sur_ca
434687265,2018-12-31,0,267400,153577,147478,1142,1321604,690850,2209737,0,130700,3227,1040,103992,151390,630754,10757,110621,362887,0,185166,24315,0,126768,48,-2038,152975,1000,1597,19948,63249,567300,543571,-861,46512,2284585,2284585,1142,51388,1174126,629612,1366,25667,2284585,2187,690850,0,544514,130700,0.08621965948494176,0.06626586447866899,0.048420610307780186,6.84173128452943,33.98347395122119,0,0.2383426311562056
434687265,2019-12-31,0,143228,208254,137310,647,1331937,637864,2258968,0,164451,0,611,112023,208865,694072,14897,121251,387485,0,216647,26894,0,99611,30,-3773,154136,0,463,23722,21777,550529,580930,483,40474,2443790,2443790,647,58157,1194627,693426,883,26150,2443790,-611,637865,0,501201,164451,-0.046921606118546844,0.08546765474938518,0.049615965365272796,7.238519199003734,34.234255392044076,0,0.2050916813637833
434687265,2020-12-31,0,222492,118939,184339,1015,1408579,824306,1918610,0,247268,1296.5,499,82192,119438,584273,45000,82817,387678,0,171031,21018,0,100258,4,4645,74558,2507,5,19076,76084,488352,467352,-132,30683,1956964,1956964,1015,30982,1224240,583258,1015,21408,1956964,797.5,824306,0,640982,247268,0.02438340807174888,0.061032292878152074,0.042319122886266686,4.8154650094057265,28.537325199836847,0,0.3275389838545829
434687265,2021-12-31,0,5,263717,179075,658,1441202,782911,2074283,0,391398,5,362,89570,264074,658291,13318,144131,410008,0,172747,27282,0,112740,43390,1182,4760.5,100,5,17895,25545,538318,556874,276,31844,2285802,2285802,658,52959,1262127,657633,739,26088,2285802,-357,782911,0,604494,391398,-0.05634774609015639,0.11552794161524052,0.06305489276849001,7.047138159823117,27.40413888788302,0,0.2644559765019017
434861696,2017-03-31,0,30000,-1479,86377,0,591157,265393,590901,0,109605,43,1318,27266,-204,325764,16958,2128,158292,0,34026,17318,0,27110,35,-460,36442,920,49697,4440,860,169111,173340,78,5776,560951,560951,0,7888,504779,325764,18183,52964,560951,-1275,265393,0,179015,109605,0.6715504871233291,-3.636681278756968e-4,0.003793557726075896,4.277141259515834,23.766752638868986,0,0.3191276956454307
434861696,2018-03-31,0,33000,-13353,63518,0,571931,224039,552838,0,100385,51,1035,21366,-12369,347892,4816,-9220,147273,0,32939,11370,0,22127,9698,-1300,37376,1620,28539,5740,1338,166973,155862,3422,5397,515540,515540,0,2662,508412,347892,14761,52964,515540,-984,224039,0,160520,100385,0.7207159580092138,-0.0239923187337549,-0.017884160297940023,1.5705700171987949,20.66366194496113,0,0.3113628428443962
434861696,2019-03-31,0,32000,6716,86119,0,581516,229632,555142,0,112578,49,886,26639,7553,351883,26256,12192,155752,0,27078,16082,0,18791,441,2520,35803,1620,15248,3220,500,159953,156977,-186,4853,537868,537868,0,7568,495397,351883,14947,52964,537868,-837,229633,0,143514,112578,0.6998716109055207,0.014042478823800636,0.02266727152386831,4.279736540068072,24.64241109127533,0,0.2668201119977392
434864419,2017-06-30,1,3426,-2541,106524,0,1462757,622924,480581,0,83531,0,19503,44897,16962,839833,3360,4535,77494,0,142671,42256,0,60274,967,-46,25518,14239,293392,12665.5,6509,166795,103288,-7854,7087,491031,491031,0,40678,1356233,839833,21839,52547,491031,-19503,622924,0,516400,83531,0.3453099130302396,0.03454364388399103,0.009235669438385764,25.197781131265984,61.22800075921293,0,1.0516647625099027
434881710,2019-12-31,0,35359,17361,160510,0,279086,225155,290189,0,107942,648,795,37232,17508,53932,95899,12065,73100,0,15022.5,131652,0,5815,4181,249,18281,3612,27772,1085,1599,61546,8133,-14210,5079,306095,306095,0,581.5,118577,53932,31569,305580,306095,-147,225154,0,64645,107942,0.6156751096275934,0.05719792874761104,0.03941586762279684,0.15140421922520964,53.19648323429708,0,0.21119260360345643
434882874,2018-03-31,1,74776,-148074,405688,0,1196778,852484,1609880,0,191871,140,4437,150553,-143777,344294,13128,-145687,327160,0,155186,513549,0,30672,74176,-46,167646,1739,205920,12665.5,27416,508062,144022,12823,32069,1421747,1421747,0,9451,791089,344294,15000,1318660,1421747,-4297,852484,0,446795,191871,0.5999772496322023,-0.10112699376189997,-0.10247041140230997,2.0219343994864536,46.50326248149664,0,0.3142577406528728
