siren,date_jugement,nature_jugement
300269339,2018-02-14,Jugement d'ouverture de liquidation judiciaire
300269461,2021-09-29,Jugement d'ouverture de liquidation judiciaire
300325941,2021-01-12,Jugement d'ouverture de liquidation judiciaire
300336195,2018-01-19,Jugement d'ouverture de liquidation judiciaire
300344389,2017-05-29,Jugement d'ouverture d'une procédure de redressement judiciaire
300345808,2020-05-15,Jugement d'ouverture d'une procédure de redressement judiciaire
300348208,2019-10-30,Jugement d'ouverture de liquidation judiciaire
300353364,2020-02-24,Jugement d'ouverture de liquidation judiciaire
300426632,2021-03-24,Jugement d'ouverture d'une procédure de redressement judiciaire
300460961,2017-06-02,Jugement d'ouverture de liquidation judiciaire
300461720,2019-06-12,Jugement d'ouverture de liquidation judiciaire
300462470,2017-04-12,Jugement d'ouverture d'une procédure de redressement judiciaire
300462801,2018-05-29,Jugement d'ouverture de liquidation judiciaire
300464252,2021-09-23,Jugement d'ouverture de liquidation judiciaire
300476231,2017-06-30,Jugement d'ouverture de liquidation judiciaire
300480720,2019-09-30,Jugement d'ouverture d'une procédure de redressement judiciaire
300480720,2019-09-30,Jugement d'ouverture d'une procédure de redressement judiciaire
300485257,2020-07-24,Jugement d'ouverture de liquidation judiciaire
300498987,2019-10-14,Jugement d'ouverture de liquidation judiciaire
300511144,2020-06-19,Jugement d'ouverture de liquidation judiciaire
300511888,2020-07-02,Jugement d'ouverture de liquidation judiciaire
300529476,2020-12-03,Jugement d'ouverture de liquidation judiciaire
300577939,2018-09-19,Jugement d'ouverture d'une procédure de redressement judiciaire
300602109,2019-06-28,Jugement d'ouverture d'une procédure de redressement judiciaire
300641545,2020-02-20,Jugement d'ouverture de liquidation judiciaire
300656584,2017-07-26,Jugement d'ouverture de liquidation judiciaire
300735883,2017-10-10,Jugement d'ouverture de liquidation judiciaire
300759206,2018-07-24,Jugement d'ouverture d'une procédure de redressement judiciaire
300772191,2017-01-03,Jugement d'ouverture d'une procédure de redressement judiciaire
300776796,2017-10-10,Jugement d'ouverture de liquidation judiciaire
300795341,2017-06-22,Jugement d'ouverture d'une procédure de redressement judiciaire
300799004,2018-02-21,Jugement d'ouverture de liquidation judiciaire
300817566,2019-12-04,Jugement d'ouverture de liquidation judiciaire
300823168,2017-02-22,Jugement d'ouverture de liquidation judiciaire
300823531,2018-06-26,Jugement d'ouverture d'une procédure de redressement judiciaire
300849890,2017-12-01,Jugement d'ouverture d'une procédure de redressement judiciaire
300865375,2017-06-30,Jugement d'ouverture d'une procédure de redressement judiciaire
300881653,2017-02-15,Jugement d'ouverture de liquidation judiciaire
300898731,2017-04-26,Jugement d'ouverture d'une procédure de redressement judiciaire
300898731,2018-07-11,Jugement d'ouverture de liquidation judiciaire
300899275,2017-03-21,Jugement d'ouverture de liquidation judiciaire
300900420,2021-06-29,Jugement d'ouverture de liquidation judiciaire
300961430,2018-12-19,Jugement d'ouverture de liquidation judiciaire
300962545,2019-08-07,Jugement d'ouverture de liquidation judiciaire
300966470,2018-03-12,Jugement d'ouverture de liquidation judiciaire
300983517,2017-03-28,Jugement d'ouverture d'une procédure de sauvegarde
301012001,2017-08-01,Jugement d'ouverture de liquidation judiciaire
301012001,2017-08-01,Jugement d'ouverture de liquidation judiciaire
301027090,2021-09-21,Jugement d'ouverture de liquidation judiciaire
301029013,2016-12-06,Jugement d'ouverture de liquidation judiciaire
301050522,2018-06-26,Jugement d'ouverture de liquidation judiciaire
301054862,2021-08-02,Jugement d'ouverture d'une procédure de redressement judiciaire
301059085,2017-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire
301062675,2018-05-04,Jugement d'ouverture d'une procédure de redressement judiciaire
301074233,2021-11-16,Jugement d'ouverture d'une procédure de redressement judiciaire
301077137,2021-12-16,Jugement d'ouverture de liquidation judiciaire
301098182,2020-06-04,Jugement d'ouverture d'une procédure de redressement judiciaire
301098422,2019-09-10,Jugement d'ouverture de liquidation judiciaire
301105615,2019-07-29,Jugement d'ouverture d'une procédure de redressement judiciaire
301124012,2018-09-25,Jugement d'ouverture de liquidation judiciaire
301160180,2017-07-03,Jugement d'ouverture de liquidation judiciaire
301160362,2019-06-24,Jugement d'ouverture de liquidation judiciaire
301162095,2019-01-24,Jugement d'ouverture de liquidation judiciaire
301190294,2018-12-19,Jugement d'ouverture d'une procédure de redressement judiciaire
301195731,2017-11-28,Jugement d'ouverture de liquidation judiciaire
301213963,2020-06-09,Jugement d'ouverture de liquidation judiciaire
301222931,2019-07-02,Jugement d'ouverture d'une procédure de sauvegarde
301224028,2017-12-01,Jugement d'ouverture d'une procédure de redressement judiciaire
301239661,2020-01-06,Jugement d'ouverture d'une procédure de redressement judiciaire
301272647,2018-10-01,Jugement d'ouverture de liquidation judiciaire
